DEBUG:root:{ Tick:4, BR:0, AC:40, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:49, BR:0, AC:5, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:52, BR:0, AC:5, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:54, BR:0, AC:5, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:57, BR:0, AC:5, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:60, BR:0, AC:5, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:64, BR:0, AC:18, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:67, BR:0, AC:18, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:69, BR:0, AC:18, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:72, BR:0, AC:18, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:75, BR:0, AC:18, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:79, BR:0, AC:0, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:82, BR:0, AC:0, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:84, BR:0, AC:0, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:87, BR:0, AC:0, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:90, BR:0, AC:0, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:94, BR:0, AC:7, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:97, BR:0, AC:7, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:99, BR:0, AC:7, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:102, BR:0, AC:7, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:105, BR:0, AC:7, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:109, BR:0, AC:15, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:112, BR:0, AC:15, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:114, BR:0, AC:15, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:117, BR:0, AC:15, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:120, BR:0, AC:15, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:124, BR:0, AC:14, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:127, BR:0, AC:14, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:129, BR:0, AC:14, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:132, BR:0, AC:14, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:135, BR:0, AC:14, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:139, BR:0, AC:14, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:142, BR:0, AC:14, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:144, BR:0, AC:14, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:147, BR:0, AC:14, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:150, BR:0, AC:14, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:154, BR:0, AC:1, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:157, BR:0, AC:1, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:159, BR:0, AC:1, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:162, BR:0, AC:1, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:165, BR:0, AC:1, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:169, BR:0, AC:0, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:172, BR:0, AC:0, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:174, BR:0, AC:0, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:177, BR:0, AC:0, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:180, BR:0, AC:0, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:184, BR:0, AC:7, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:187, BR:0, AC:7, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:189, BR:0, AC:7, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:192, BR:0, AC:7, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:195, BR:0, AC:7, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:199, BR:0, AC:9, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:202, BR:0, AC:9, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:204, BR:0, AC:9, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:207, BR:0, AC:9, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:210, BR:0, AC:9, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:214, BR:0, AC:22, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:217, BR:0, AC:22, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:219, BR:0, AC:22, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:222, BR:0, AC:22, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:225, BR:0, AC:22, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:229, BR:0, AC:5, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:232, BR:0, AC:5, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:234, BR:0, AC:5, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:237, BR:0, AC:5, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:240, BR:0, AC:5, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:244, BR:0, AC:0, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:247, BR:0, AC:0, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:249, BR:0, AC:0, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:252, BR:0, AC:0, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:255, BR:0, AC:0, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:259, BR:0, AC:25, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:262, BR:0, AC:25, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:264, BR:0, AC:25, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:267, BR:0, AC:25, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:270, BR:0, AC:25, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:274, BR:0, AC:15, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:277, BR:0, AC:15, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:279, BR:0, AC:15, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:282, BR:0, AC:15, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:285, BR:0, AC:15, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:289, BR:0, AC:21, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:292, BR:0, AC:21, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:294, BR:0, AC:21, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:297, BR:0, AC:21, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:300, BR:0, AC:21, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:304, BR:0, AC:0, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:307, BR:0, AC:0, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:309, BR:0, AC:0, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:312, BR:0, AC:0, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:315, BR:0, AC:0, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:319, BR:0, AC:21, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:322, BR:0, AC:21, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:324, BR:0, AC:21, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:327, BR:0, AC:21, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:330, BR:0, AC:21, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:334, BR:0, AC:16, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:337, BR:0, AC:16, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:339, BR:0, AC:16, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:342, BR:0, AC:16, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:345, BR:0, AC:16, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:349, BR:0, AC:64, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:352, BR:0, AC:64, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:354, BR:0, AC:64, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:357, BR:0, AC:64, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:360, BR:0, AC:64, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:364, BR:0, AC:74, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:367, BR:0, AC:74, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:369, BR:0, AC:74, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:372, BR:0, AC:74, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:375, BR:0, AC:74, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:379, BR:0, AC:40, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:382, BR:0, AC:40, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:384, BR:0, AC:40, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:387, BR:0, AC:40, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:390, BR:0, AC:40, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:394, BR:0, AC:5, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:397, BR:0, AC:5, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:399, BR:0, AC:5, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:402, BR:0, AC:5, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:405, BR:0, AC:5, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:409, BR:0, AC:22, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:412, BR:0, AC:22, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:414, BR:0, AC:22, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:417, BR:0, AC:22, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:420, BR:0, AC:22, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:424, BR:0, AC:5, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:427, BR:0, AC:5, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:429, BR:0, AC:5, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:432, BR:0, AC:5, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:435, BR:0, AC:5, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:439, BR:0, AC:18, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:442, BR:0, AC:18, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:444, BR:0, AC:18, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:447, BR:0, AC:18, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:450, BR:0, AC:18, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:454, BR:0, AC:0, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:457, BR:0, AC:0, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:459, BR:0, AC:0, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:462, BR:0, AC:0, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:465, BR:0, AC:0, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:469, BR:0, AC:7, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:472, BR:0, AC:7, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:474, BR:0, AC:7, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:477, BR:0, AC:7, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:480, BR:0, AC:7, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:484, BR:0, AC:15, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:487, BR:0, AC:15, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:489, BR:0, AC:15, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:492, BR:0, AC:15, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:495, BR:0, AC:15, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:499, BR:0, AC:14, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:502, BR:0, AC:14, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:504, BR:0, AC:14, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:507, BR:0, AC:14, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:510, BR:0, AC:14, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:514, BR:0, AC:14, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:517, BR:0, AC:14, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:519, BR:0, AC:14, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:522, BR:0, AC:14, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:525, BR:0, AC:14, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:529, BR:0, AC:1, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:532, BR:0, AC:1, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:534, BR:0, AC:1, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:537, BR:0, AC:1, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:540, BR:0, AC:1, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:544, BR:0, AC:0, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:547, BR:0, AC:0, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:549, BR:0, AC:0, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:552, BR:0, AC:0, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:555, BR:0, AC:0, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:559, BR:0, AC:12, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:562, BR:0, AC:12, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:564, BR:0, AC:12, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:567, BR:0, AC:12, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:570, BR:0, AC:12, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:574, BR:0, AC:5, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:577, BR:0, AC:5, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:579, BR:0, AC:5, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:582, BR:0, AC:5, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:585, BR:0, AC:5, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:589, BR:0, AC:20, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:592, BR:0, AC:20, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:594, BR:0, AC:20, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:597, BR:0, AC:20, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:600, BR:0, AC:20, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:604, BR:0, AC:0, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:607, BR:0, AC:0, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:609, BR:0, AC:0, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:612, BR:0, AC:0, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:615, BR:0, AC:0, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:619, BR:0, AC:25, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
DEBUG:root:{ Tick:622, BR:0, AC:25, SP:256, PS:0, IP:2, AR:2, IR:CMP #-1 }  CMP #-1
DEBUG:root:{ Tick:624, BR:0, AC:25, SP:256, PS:0, IP:3, AR:3, IR:JZ .END }  JZ .END
DEBUG:root:{ Tick:627, BR:0, AC:25, SP:256, PS:0, IP:4, AR:4, IR:ST OUTPUT }  ST OUTPUT
DEBUG:root:{ Tick:630, BR:0, AC:25, SP:256, PS:0, IP:0, AR:0, IR:JNZ .LOOP }  JNZ .LOOP
DEBUG:root:{ Tick:634, BR:0, AC:15, SP:256, PS:0, IP:1, AR:1, IR:LD INPUT }  LD INPUT
